COD_IBGE;UF;MUNICIPIO;POPULACAO;RANGE_POP;CAPITAL
3506508;SP;Birigui;126094;>100k;
5208004;GO;Formosa;125705;>100k;
2107506;MA;Paço do Lumiar;125265;>100k;
3543303;SP;Ribeirão Pires;125238;>100k;
3510500;SP;Caraguatatuba;125194;>100k;
5008305;MS;Três Lagoas;125137;>100k;
1600600;AP;Santana;124808;>100k;
3557006;SP;Votorantim;124468;>100k;
3201506;ES;Colatina;124283;>100k;
3556503;SP;Várzea Paulista;124269;>100k;
3523404;SP;Itatiba;124254;>100k;
3554003;SP;Tatuí;124134;>100k;
3505500;SP;Barretos;123546;>100k;
2103307;MA;Codó;123368;>100k;
3518404;SP;Guaratinguetá;123192;>100k;
3511102;SP;Catanduva;123114;>100k;
4302105;RS;Bento Gonçalves;123090;>100k;
3131703;MG;Itabira;121717;>100k;
4301602;RS;Bagé;121518;>100k;
5220454;GO;Senador Canedo;121447;>100k;
4100400;PR;Almirante Tamandaré;121420;>100k;
3545209;SP;Salto;120779;>100k;
2606804;PE;Igarassu;119690;>100k;
5215231;GO;Novo Gama;119649;>100k;
3539806;SP;Poá;119221;>100k;
2924009;BA;Paulo Afonso;119213;>100k;
3103504;MG;Araguari;118361;>100k;
3169901;MG;Ubá;117995;>100k;
1500602;PA;Altamira;117320;>100k;
4119509;PR;Piraquara;116852;>100k;
1508100;PA;Tucuruí;116605;>100k;
1303403;AM;Parintins;116439;>100k;
3147907;MG;Passos;115970;>100k;
1505502;PA;Paragominas;115838;>100k;
2910727;BA;Eunápolis;115360;>100k;
3534708;SP;Ourinhos;115139;>100k;
2613701;PE;São Lourenço da Mata;114910;>100k;
3536505;SP;Paulínia;114508;>100k;
2100055;MA;Açailândia;113783;>100k;
4128104;PR;Umuarama;113416;>100k;
5205109;GO;Catalão;113091;>100k;
5003207;MS;Corumbá;112669;>100k;
2612505;PE;Santa Cruz do Capibaribe;111812;>100k;
1507953;PA;Tailândia;111554;>100k;
1100023;RO;Ariquemes;111148;>100k;
3119401;MG;Coronel Fabriciano;110709;>100k;
3143906;MG;Muriaé;109997;>100k;
2510808;PB;Patos;108766;>100k;
3104007;MG;Araxá;108403;>100k;
3145208;MG;Nova Serrana;108241;>100k;
4103701;PR;Cambé;108126;>100k;
5107958;MT;Tangará da Serra;107631;>100k;
3305208;RJ;São Pedro da Aldeia;107556;>100k;
4307005;RS;Erechim;107368;>100k;
4218707;SC;Tubarão;107143;>100k;
5211503;GO;Itumbiara;106845;>100k;
3302270;RJ;Japeri;106296;>100k;
2803500;SE;Lagarto;106015;>100k;
3134202;MG;Ituiutaba;105818;>100k;
3504008;SP;Assis;105768;>100k;
3138203;MG;Lavras;105756;>100k;
3526704;SP;Leme;105273;>100k;
2101202;MA;Bacabal;105094;>100k;
3200607;ES;Aracruz;104942;>100k;
2412005;RN;São Gonçalo do Amarante;104919;>100k;
1100304;RO;Vilhena;104517;>100k;
3302205;RJ;Itaperuna;104354;>100k;
3522109;SP;Itanhaém;104351;>100k;
1501808;PA;Breves;104280;>100k;
1301902;AM;Itacoatiara;104046;>100k;
3509007;SP;Caieiras;104044;>100k;
4107652;PR;Fazenda Rio Grande;103750;>100k;
3528502;SP;Mairiporã;103645;>100k;
2305506;CE;Iguatu;103633;>100k;
5211909;GO;Jataí;103221;>100k;
2928703;BA;Santo Antônio de Jesus;103204;>100k;
1503606;PA;Itaituba;101541;>100k;
3300308;RJ;Barra do Piraí;101139;>100k;
2600054;PE;Abreu e Lima;100698;>100k;
1302504;AM;Manacapuru;99613;>50k;
2607208;PE;Ipojuca;99101;>50k;
4126256;PR;Sarandi;98888;>50k;
4309308;RS;Guaíba;98331;>50k;
2932903;BA;Valença;97873;>50k;
3132404;MG;Itajubá;97782;>50k;
2501807;PB;Bayeux;97519;>50k;
3144805;MG;Nova Lima;97378;>50k;
2101400;MA;Balsas;96951;>50k;
2802908;SE;Itabaiana;96839;>50k;
3557105;SP;Votuporanga;96106;>50k;
4104303;PR;Campo Mourão;96102;>50k;
3508504;SP;Caçapava;95752;>50k;
3147105;MG;Pará de Minas;95616;>50k;
5102504;MT;Cáceres;95339;>50k;
5006606;MS;Ponta Porã;95320;>50k;
3522406;SP;Itapeva;95241;>50k;
5204508;GO;Caldas Novas;95183;>50k;
5107925;MT;Sorriso;94941;>50k;
3147006;MG;Paracatu;94539;>50k;
3133808;MG;Itaúna;94455;>50k;
3530805;SP;Mogi Mirim;94098;>50k;
4108403;PR;Francisco Beltrão;93308;>50k;
3113404;MG;Caratinga;93124;>50k;
3550605;SP;São Roque;93076;>50k;
3555406;SP;Ubatuba;92819;>50k;
2919553;BA;Luís Eduardo Magalhães;92671;>50k;
3503901;SP;Arujá;92453;>50k;
3549102;SP;São João da Boa Vista;92315;>50k;
3148103;MG;Patrocínio;92116;>50k;
2806701;SE;São Cristóvão;92090;>50k;
3139409;MG;Manhuaçu;92074;>50k;
3305505;RJ;Saquarema;91938;>50k;
3504503;SP;Avaré;91792;>50k;
3550704;SP;São Sebastião;91637;>50k;
5217609;GO;Planaltina;91345;>50k;
3168705;MG;Timóteo;91268;>50k;
3162500;MG;São João del Rei;90897;>50k;
2109908;MA;Santa Inês;89927;>50k;
1200203;AC;Cruzeiro do Sul;89760;>50k;
3527207;SP;Lorena;89532;>50k;
4118402;PR;Paranavaí;89454;>50k;
2311306;CE;Quixadá;88899;>50k;
2101608;MA;Barra do Corda;88895;>50k;
